categories,diseases,Symptoms,Related Diseases
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","decreased serum zinc
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","perioral erythema
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","perianal erythema
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","ataxia
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","tremor
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","splenomegaly
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","hepatomegaly
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","generalized abnormality of skin
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","abnormality of the nail
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","irritability
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","abnormal eyelid morphology
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","impaired t cell function
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","decreased testicular size
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","abnormality of the tongue
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","lethargy
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","hypogonadism
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","alopecia of scalp
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","recurrent candida infections
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","low alkaline phosphatase
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","hypogeusia
",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","decreased serum testosterone concentration
",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","hyperparathyroidism

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","hypercalcemia

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","parathyroid adenoma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","elevated circulating parathyroid hormone level

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","parathyroid hyperplasia

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","peptic ulcer

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","pituitary growth hormone cell adenoma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","pituitary prolactin cell adenoma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","diarrhea

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","subcutaneous lipoma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","esophagitis

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","renal angiomyolipoma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","adrenocortical adenoma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","pulmonary carcinoid tumor

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","thyroid adenoma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","episodic abdominal pain

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","fasting hyperinsulinemia

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","hyperinsulinemic hypoglycemia

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","zollinger-ellison syndrome

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","pituitary null cell adenoma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","angiofibromas

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","insulinoma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","elevated circulating growth hormone concentration
",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","erythema

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","cervix cancer

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","testicular neoplasm

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","extrahepatic cholestasis

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","increased urinary cortisol level

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","pituitary corticotropic cell adenoma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","parathyroid carcinoma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","increased glucagon level

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","confetti-like hypopigmented macules

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","increased circulating cortisol level
",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","thymoma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","hypothyroidism
",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","hashimoto thyroiditis
",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","pancreatic endocrine tumor
",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","primary hyperparathyroidism
",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","pituitary adenoma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","carcinoid tumor

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","abnormality of the endocrine system
",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","growth hormone excess
",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","hypercortisolism
",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","neuroendocrine neoplasm
",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","abnormality of pancreas physiology
",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type Iv","carcinoma
",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","hypercalcemia

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","primary hyperparathyroidism

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","parathyroid hyperplasia

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","angiofibromas

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","impairment of activities of daily living

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","gastroesophageal reflux

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","reduced bone mineral density

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","multiple lipomas

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","abdominal pain

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","hypercalciuria

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","peptic ulcer

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","weight loss

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","impotence

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","pituitary prolactin cell adenoma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","galactorrhea

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","hypergastrinemia

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","zollinger-ellison syndrome

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","decreased male libido

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","adrenocortical abnormality

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","large cafe-au-lait macules with irregular margins

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","depression

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","constipation

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","hypertension

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","dehydration

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","vomiting

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","nephrolithiasis

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","anorexia

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","hematemesis

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","headache

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","meningioma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","goiter

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","lethargy

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","adrenocortical carcinoma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","osteolysis

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","pituitary growth hormone cell adenoma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","thyroid carcinoma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","increased susceptibility to fractures

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","confusion

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","short attention span

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","gingival fibromatosis

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","amenorrhea

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","duodenal ulcer

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","nausea

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","melena

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","shortened qt interval

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","proportionate tall stature

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","intestinal carcinoid

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","insulinoma

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","confetti-like hypopigmented macules

",
Gastrointestinal diseases,"Multiple Endocrine Neoplasia, Type I","primary hypercortisolism

",
Gastrointestinal diseases,Pancreatic Cancer ,"melanoma
",
Gastrointestinal diseases,Pancreatic Cancer ,"pancreatic adenocarcinoma
",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","ptosis

",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","malabsorption

",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","myopathy

",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","skeletal muscle atrophy

",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","cachexia

",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","abdominal distention

",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","external ophthalmoplegia

",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","gastroparesis

",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","intestinal pseudo-obstruction

",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","spontaneous esophageal perforation

",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","abnormal gastric mucosa morphology
",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","abnormal mitral valve morphology

",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","ophthalmoplegia
",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","abdominal pain
",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","abnormality of the gastric mucosa
",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","peripheral neuropathy
",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","abnormality of the gastrointestinal tract
",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","abnormality of metabolism/homeostasis
",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","malnutrition
",
Gastrointestinal diseases,"Visceral Myopathy, Familial, with External Ophthalmoplegia","vascular dilatation
",
Gastrointestinal diseases,Pancreatic Cancer ,"neoplasm of the pancreas
",
Gastrointestinal diseases,Pancreatic Cancer ,"pancreatic adenocarcinoma
",
Gastrointestinal diseases,Immunodeficiency  with Autoinflammation,"failure to thrive
",
Gastrointestinal diseases,Immunodeficiency  with Autoinflammation,"recurrent respiratory infections
",
Gastrointestinal diseases,Immunodeficiency  with Autoinflammation,"inflammation of the large intestine
",
Gastrointestinal diseases,Immunodeficiency  with Autoinflammation,"bronchiectasis
",
Gastrointestinal diseases,Immunodeficiency  with Autoinflammation,"skin rash
",
Gastrointestinal diseases,Immunodeficiency  with Autoinflammation,"diarrhea
",
Gastrointestinal diseases,Immunodeficiency  with Autoinflammation,"gastritis
",
Gastrointestinal diseases,Immunodeficiency  with Autoinflammation,"b lymphocytopenia
",
Gastrointestinal diseases,Immunodeficiency  with Autoinflammation,"chronic lung disease
",
Gastrointestinal diseases,Immunodeficiency  with Autoinflammation,"perianal abscess
",
Gastrointestinal diseases,Immunodeficiency  with Autoinflammation,"reduced natural killer cell count
",
Gastrointestinal diseases,Immunodeficiency  with Autoinflammation,"t lymphocytopenia
",
Gastrointestinal diseases,Immunodeficiency  with Autoinflammation,"partial absence of specific antibody response to tetanus vaccine
",
Gastrointestinal diseases,Vipoma,"hypokalemia

",
Gastrointestinal diseases,Vipoma,"neoplasm of the pancreas

",
Gastrointestinal diseases,Vipoma,"secretory diarrhea

",
Gastrointestinal diseases,Vipoma,"nausea and vomiting

",
Gastrointestinal diseases,Vipoma,"diabetes mellitus

",
Gastrointestinal diseases,Vipoma,"hepatomegaly

",
Gastrointestinal diseases,Vipoma,"malabsorption

",
Gastrointestinal diseases,Vipoma,"dehydration

",
Gastrointestinal diseases,Vipoma,"anorexia

",
Gastrointestinal diseases,Vipoma,"chronic fatigue

",
Gastrointestinal diseases,Vipoma,"hypercalcemia

",
Gastrointestinal diseases,Vipoma,"erythema

",
Gastrointestinal diseases,Vipoma,"weight loss

",
Gastrointestinal diseases,Vipoma,"poor appetite

",
Gastrointestinal diseases,Vipoma,"generalized muscle weakness

",
Gastrointestinal diseases,Vipoma,"muscle spasm

",
Gastrointestinal diseases,Vipoma,"episodic abdominal pain

",
Gastrointestinal diseases,Vipoma,"normochromic anemia

",
Gastrointestinal diseases,Vipoma,"ascites

",
Gastrointestinal diseases,Vipoma,"intrahepatic cholestasis

",
Gastrointestinal diseases,Vipoma,"extrahepatic cholestasis

",
Gastrointestinal diseases,Vipoma,"intermittent jaundice

",
Gastrointestinal diseases,Vipoma,"abnormal gastrointestinal motility

",
Gastrointestinal diseases,Vipoma,"increased circulating gonadotropin level

",
Gastrointestinal diseases,Vipoma,"respiratory insufficiency due to muscle weakness

",
Gastrointestinal diseases,Vipoma,"follicular thyroid carcinoma

",
Gastrointestinal diseases,Vipoma,"neoplasm of the liver

",
Gastrointestinal diseases,Vipoma,"ganglioneuroma

",
Gastrointestinal diseases,Vipoma,"subcutaneous lipoma

",
Gastrointestinal diseases,Vipoma,"parathyroid adenoma

",
Gastrointestinal diseases,Vipoma,"adrenocortical adenoma

",
Gastrointestinal diseases,Vipoma,"primary hyperparathyroidism

",
Gastrointestinal diseases,Vipoma,"elevated calcitonin

",
Gastrointestinal diseases,Vipoma,"increased circulating prolactin concentration

",
Gastrointestinal diseases,Vipoma,"pituitary adenoma

",
Gastrointestinal diseases,Vipoma,"benign gastrointestinal tract tumors

",
Gastrointestinal diseases,Vipoma,"increased circulating cortisol level
",
Gastrointestinal diseases,Vipoma,"elevated circulating growth hormone concentration
",
Gastrointestinal diseases,Vipoma,"hematochezia
",
Gastrointestinal diseases,Vipoma,"abnormality of the thyroid gland
",
Gastrointestinal diseases,Vipoma,"growth hormone excess
",
Gastrointestinal diseases,Vipoma,"hypercortisolism
",
Gastrointestinal diseases,Vipoma,"abnormality of abdomen morphology
",
Gastrointestinal diseases,Aplasia of Lacrimal and Salivary Glands,"carious teeth
",
Gastrointestinal diseases,Aplasia of Lacrimal and Salivary Glands,"xerostomia
",
Gastrointestinal diseases,Aplasia of Lacrimal and Salivary Glands,"absent lacrimal punctum
",
Gastrointestinal diseases,Aplasia of Lacrimal and Salivary Glands,"lacrimal gland hypoplasia
",
Gastrointestinal diseases,Aplasia of Lacrimal and Salivary Glands,"lacrimal gland aplasia
",
Gastrointestinal diseases,Pancreatic Cancer,"pancreatic adenocarcinoma

",
Gastrointestinal diseases,Pancreatic Cancer,"exocrine pancreatic insufficiency

",
Gastrointestinal diseases,Pancreatic Cancer,"back pain

",
Gastrointestinal diseases,Pancreatic Cancer,"abdominal pain

",
Gastrointestinal diseases,Pancreatic Cancer,"anorexia

",
Gastrointestinal diseases,Pancreatic Cancer,"chronic fatigue

",
Gastrointestinal diseases,Pancreatic Cancer,"weight loss

",
Gastrointestinal diseases,Pancreatic Cancer,"poor appetite

",
Gastrointestinal diseases,Pancreatic Cancer,"jaundice

",
Gastrointestinal diseases,Pancreatic Cancer,"lymphadenopathy

",
Gastrointestinal diseases,Pancreatic Cancer,"intestinal pseudo-obstruction

",
Gastrointestinal diseases,Pancreatic Cancer,"extrahepatic cholestasis

",
Gastrointestinal diseases,Pancreatic Cancer,"functional intestinal obstruction

",
Gastrointestinal diseases,Pancreatic Cancer,"nausea and vomiting

",
Gastrointestinal diseases,Pancreatic Cancer,"diabetes mellitus

",
Gastrointestinal diseases,Pancreatic Cancer,"elevated hepatic transaminase

",
Gastrointestinal diseases,Pancreatic Cancer,"melanoma

",
Gastrointestinal diseases,Pancreatic Cancer,"breast carcinoma

",
Gastrointestinal diseases,Pancreatic Cancer,"neoplasm of the liver

",
Gastrointestinal diseases,Pancreatic Cancer,"colon cancer

",
Gastrointestinal diseases,Pancreatic Cancer,"intermittent diarrhea

",
Gastrointestinal diseases,Pancreatic Cancer,"hepatosplenomegaly

",
Gastrointestinal diseases,Pancreatic Cancer,"ovarian carcinoma

",
Gastrointestinal diseases,Pancreatic Cancer,"peritoneal abscess

",
Gastrointestinal diseases,Pancreatic Cancer,"neoplasm of the pancreas
",
Gastrointestinal diseases,Pancreatic Cancer,"increased level of l-fucose in urine
",
Gastrointestinal diseases,"Hernia, Anterior Diaphragmatic","congenital diaphragmatic hernia
",
Gastrointestinal diseases,Diaphragmatic Hernia ,"congenital diaphragmatic hernia
",
Gastrointestinal diseases,Diaphragmatic Hernia ,"agenesis of the diaphragm
",
Gastrointestinal diseases,Diaphragmatic Hernia ,"congenital diaphragmatic hernia
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","malabsorption

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","hypoplastic toenails

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","generalized hyperpigmentation

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","hamartomatous polyposis

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","intestinal polyposis

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","dystrophic toenail

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","dystrophic fingernails

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","diarrhea

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","patchy alopecia

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","fatigue

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","anemia

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","lymphedema

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","abdominal pain

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","anorexia

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","cachexia

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","sparse body hair

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","aplasia/hypoplasia of the eyebrow

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","macrocephaly

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","seizure

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","cataract

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","splenomegaly

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","hepatomegaly

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","gastrointestinal carcinoma

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","stomach cancer

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","furrowed tongue

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","tapered finger

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","colon cancer

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","hypogeusia
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","alopecia

",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","muscle weakness
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","vomiting
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","hypokalemia
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","abnormal fingernail morphology
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","neoplasm
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","paresthesia
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","hypocalcemia
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","hematochezia
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","abnormality of skin pigmentation
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","nail dysplasia
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","abnormality of the vasculature
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","nail dystrophy
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","glossitis
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","xerostomia
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","decreased taste sensation
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","hypomagnesemia
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","hyperpigmentation of the skin
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","thromboembolism
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","protein-losing enteropathy
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","clubbing of fingers
",
Gastrointestinal diseases,"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes","clubbing
",
