categories,diseases,Symptoms,Related Diseases
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","leukocytosis
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","oral ulcer
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","recurrent aphthous stomatitis
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","recurrent staphylococcal infections
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","chronic oral candidiasis
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","lymphocytic interstitial pneumonia
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","intellectual disability
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","seizure
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","coarse facial features
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","short stature
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","sinusitis
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","autism
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","inflammation of the large intestine
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","bronchiectasis
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","epistaxis
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","conjunctivitis
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","meningitis
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","osteomyelitis
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","sepsis
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","abnormal bleeding
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","polycythemia
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","pruritus
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","nail dystrophy
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","renal neoplasm
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","cerebral atrophy
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","severe periodontitis
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","bladder neoplasm
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","glomerulonephritis
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","thrombocytosis
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","hyperinsulinemic hypoglycemia
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","perianal abscess
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","pyoderma gangrenosum
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","hemolytic-uremic syndrome
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","impaired platelet aggregation
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","vaginitis
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","nasolacrimal sac granuloma
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","bcgosis
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","neonatal omphalitis
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","recurrent tonsillitis
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","microcephaly
58
30",
Blood diseases,"Griscelli Syndrome, Type ","hypopigmentation of hair
58
30",
Blood diseases,"Griscelli Syndrome, Type ","partial albinism
58
30",
Blood diseases,"Griscelli Syndrome, Type ","iris hypopigmentation
58
30",
Blood diseases,"Griscelli Syndrome, Type ","white eyelashes
30",
Blood diseases,"Griscelli Syndrome, Type ","silver-gray hair
30",
Blood diseases,"Griscelli Syndrome, Type ","large clumps of pigment irregularly distributed along hair shaft
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","hypertension
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","delayed skeletal maturation
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","delayed puberty
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","osteoporosis
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","primary amenorrhea
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","micropenis
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","hypospadias
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","sparse body hair
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","enlarged polycystic ovaries
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","dysmenorrhea
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","hypergonadotropic hypogonadism
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","sparse axillary hair
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","sparse pubic hair
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","decreased serum estradiol
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","hypoplasia of the uterus
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","primary gonadal insufficiency
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","elevated circulating follicle stimulating hormone level
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","elevated circulating luteinizing hormone level
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","absence of secondary sex characteristics
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","congenital adrenal hyperplasia
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","abnormal response to acth stimulation test
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","increased circulating corticosterone level
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","increased urinary 11-deoxycorticosterone level
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","decreased serum testosterone concentration
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","abnormal circulating dehydroepiandrosterone concentration
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","abnormal circulating corticosterone level
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","short stature
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","hypokalemia
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","cryptorchidism
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","gynecomastia
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","decreased testicular size
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","decreased fertility in males
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","male hypogonadism
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","irregular menstruation
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","decreased circulating aldosterone level
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","bilateral cryptorchidism
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","hypoplasia of the vagina
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","decreased fertility in females
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","absence of pubertal development
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","decreased circulating cortisol level
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","adrenocorticotropic hormone excess
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","ovarian cyst
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","decreased circulating renin level
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","increased circulating progesterone
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","failure to thrive
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","bifid scrotum
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","male pseudohermaphroditism
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","ambiguous genitalia, male
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","aplasia of the uterus
58
30",
Blood diseases,"Adrenal Hyperplasia, Congenital, Due to -Alpha-Hydroxylase Deficiency","absent axillary hair
58
30",
Blood diseases,"Griscelli Syndrome, Type ","seizure
58
30",
Blood diseases,"Griscelli Syndrome, Type ","nystagmus
58
30",
Blood diseases,"Griscelli Syndrome, Type ","diplopia
58
30",
Blood diseases,"Griscelli Syndrome, Type ","ataxia
58
30",
Blood diseases,"Griscelli Syndrome, Type ","hypertonia
58
30",
Blood diseases,"Griscelli Syndrome, Type ","retinopathy
58
30",
Blood diseases,"Griscelli Syndrome, Type ","abnormality of movement
58
30",
Blood diseases,"Griscelli Syndrome, Type ","premature graying of hair
58
30",
Blood diseases,"Griscelli Syndrome, Type ","white hair
58
30",
Blood diseases,"Griscelli Syndrome, Type ","partial albinism
58
30",
Blood diseases,"Griscelli Syndrome, Type ","iris hypopigmentation
58
30",
Blood diseases,"Griscelli Syndrome, Type ","generalized hypotonia
58
30",
Blood diseases,"Griscelli Syndrome, Type ","intellectual disability
58
30",
Blood diseases,"Griscelli Syndrome, Type ","global developmental delay
58
30",
Blood diseases,"Griscelli Syndrome, Type ","hyperlipidemia
58
30",
Blood diseases,"Griscelli Syndrome, Type ","cerebral calcification
58
30",
Blood diseases,"Griscelli Syndrome, Type ","hypotonia
30",
Blood diseases,"Griscelli Syndrome, Type ","white eyebrow
30",
Blood diseases,"Griscelli Syndrome, Type ","white eyelashes
30",
Blood diseases,"Griscelli Syndrome, Type ","hypopigmentation of the skin
30",
Blood diseases,"Griscelli Syndrome, Type ","silver-gray hair
30",
Blood diseases,"Griscelli Syndrome, Type ","large clumps of pigment irregularly distributed along hair shaft
30",
Blood diseases,"Griscelli Syndrome, Type ","accumulation of melanosomes in melanocytes
30",
Blood diseases,"Griscelli Syndrome, Type ","recurrent tonsillitis
30",
Blood diseases,"Griscelli Syndrome, Type ","splenomegaly
58
30",
Blood diseases,"Griscelli Syndrome, Type ","hepatomegaly
58
30",
Blood diseases,"Griscelli Syndrome, Type ","immunodeficiency
58
30",
Blood diseases,"Griscelli Syndrome, Type ","premature graying of hair
58
30",
Blood diseases,"Griscelli Syndrome, Type ","hypopigmentation of hair
58
30",
Blood diseases,"Griscelli Syndrome, Type ","partial albinism
58
30",
Blood diseases,"Griscelli Syndrome, Type ","pancytopenia
58
30",
Blood diseases,"Griscelli Syndrome, Type ","hemophagocytosis
58
30",
Blood diseases,"Griscelli Syndrome, Type ","jaundice
58
30",
Blood diseases,"Griscelli Syndrome, Type ","hyperlipidemia
58
30",
Blood diseases,"Griscelli Syndrome, Type ","neutropenia
58
30",
Blood diseases,"Griscelli Syndrome, Type ","lymphadenopathy
58
30",
Blood diseases,"Griscelli Syndrome, Type ","seizure
58
30",
Blood diseases,"Griscelli Syndrome, Type ","nausea and vomiting
58
30",
Blood diseases,"Griscelli Syndrome, Type ","hypertonia
58
30",
Blood diseases,"Griscelli Syndrome, Type ","fever
58
30",
Blood diseases,"Griscelli Syndrome, Type ","petechiae
58
30",
Blood diseases,"Griscelli Syndrome, Type ","iris hypopigmentation
58
30",
Blood diseases,"Griscelli Syndrome, Type ","pulmonary infiltrates
58
30",
Blood diseases,"Griscelli Syndrome, Type ","progressive neurologic deterioration
30",
Blood diseases,"Griscelli Syndrome, Type ","hepatosplenomegaly
30",
Blood diseases,"Griscelli Syndrome, Type ","silver-gray hair
30",
Blood diseases,"Griscelli Syndrome, Type ","melanin pigment aggregation in hair shafts
30",
Blood diseases,"Griscelli Syndrome, Type ","spasticity
30",
Blood diseases,"Griscelli Syndrome, Type ","hypopigmentation of the skin
30",
Blood diseases,"Griscelli Syndrome, Type ","recurrent bacterial infections
30",
Blood diseases,"Griscelli Syndrome, Type ","accumulation of melanosomes in melanocytes
30",
Blood diseases,"Griscelli Syndrome, Type ","reduced delayed hypersensitivity
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"nephropathy
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"intrauterine growth retardation
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"focal segmental glomerulosclerosis
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"hypertension
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"global developmental delay
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"abnormal facial shape
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"anemia
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"ovoid vertebral bodies
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"disproportionate short-trunk short stature
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"microdontia
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"hyperlipidemia
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"lymphopenia
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"platyspondyly
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"impaired t cell function
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"neutropenia
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"headache
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"multiple lentigines
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"premature birth
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"lumbar hyperlordosis
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"atherosclerosis
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"recurrent infections
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"broad nasal tip
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"abdominal distention
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"hypoplastic pelvis
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"spondyloepiphyseal dysplasia
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"shallow acetabular fossae
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"abnormality of thyroid physiology
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"nephrotic range proteinuria
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"severe t-cell immunodeficiency
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"wide capital femoral epiphyses
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"abnormal proportion of naive cd4 t cells
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"decreased proportion of naive cd8 t cells
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"failure to thrive
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"dysarthria
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"short neck
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"muscle weakness
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"depressed nasal bridge
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"corneal opacity
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"congestive heart failure
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"thrombocytopenia
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"transient ischemic attack
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"hypodontia
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"pulmonary arterial hypertension
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"status epilepticus
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"aphasia
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"hemiparesis
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"small for gestational age
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"hemiplegia
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"stage 5 chronic kidney disease
58
30",
Blood diseases,Schimke Immunoosseous Dysplasia,"microscopic hematuria
58
30",
Blood diseases,"Mastocytosis, Cutaneous","pruritus
58
30",
Blood diseases,"Mastocytosis, Cutaneous","flushing
58
30",
Blood diseases,"Mastocytosis, Cutaneous","darier's sign
58
30",
Blood diseases,"Mastocytosis, Cutaneous","elevated total serum tryptase
30",
Blood diseases,"Mastocytosis, Cutaneous","hypotension
58
30",
Blood diseases,"Mastocytosis, Cutaneous","vomiting
58
30",
Blood diseases,"Mastocytosis, Cutaneous","erythema
58
30",
Blood diseases,"Mastocytosis, Cutaneous","macule
58
30",
Blood diseases,"Mastocytosis, Cutaneous","headache
58
30",
Blood diseases,"Mastocytosis, Cutaneous","thickened skin
58
30",
Blood diseases,"Mastocytosis, Cutaneous","abnormal blistering of the skin
58
30",
Blood diseases,"Mastocytosis, Cutaneous","skin erosion
58
30",
Blood diseases,"Mastocytosis, Cutaneous","diarrhea
58
30",
Blood diseases,"Mastocytosis, Cutaneous","lymphocytosis
58
30",
Blood diseases,"Mastocytosis, Cutaneous","yellow papule
58
30",
Blood diseases,"Mastocytosis, Cutaneous","malnutrition
58
30",
Blood diseases,"Mastocytosis, Cutaneous","anaphylactic shock
58
30",
Blood diseases,"Mastocytosis, Cutaneous","peau d'orange
58
30",
Blood diseases,"Mastocytosis, Cutaneous","hepatomegaly
58
30",
Blood diseases,"Mastocytosis, Cutaneous","fever
58
30",
Blood diseases,"Mastocytosis, Cutaneous","irritability
58
30",
Blood diseases,"Mastocytosis, Cutaneous","abdominal pain
58
30",
Blood diseases,"Mastocytosis, Cutaneous","gastrointestinal hemorrhage
58
30",
Blood diseases,"Mastocytosis, Cutaneous","bone pain
58
30",
Blood diseases,"Mastocytosis, Cutaneous","erythroderma
58
30",
Blood diseases,"Mastocytosis, Cutaneous","mixed hypo- and hyperpigmentation of the skin
58
30",
Blood diseases,"Mastocytosis, Cutaneous","scaling skin
58
30",
Blood diseases,"Mastocytosis, Cutaneous","nausea
58
30",
Blood diseases,"Mastocytosis, Cutaneous","dermatographic urticaria
58
30",
Blood diseases,"Mastocytosis, Cutaneous","wheezing
58
30",
Blood diseases,"Mastocytosis, Cutaneous","adverse drug response
58
30",
Blood diseases,"Mastocytosis, Cutaneous","dyspnea
58
30",
Blood diseases,"Mastocytosis, Cutaneous","abnormality of the spleen
58
30",
Blood diseases,"Mastocytosis, Cutaneous","abnormality of bone marrow cell morphology
58
30",
Blood diseases,"Mastocytosis, Cutaneous","lymphadenopathy
58
30",
Blood diseases,"Mastocytosis, Cutaneous","myeloproliferative disorder
58
30",
Blood diseases,"Mastocytosis, Cutaneous","urticaria
58
30",
Blood diseases,"Mastocytosis, Cutaneous","generalized abnormality of skin
58",
Blood diseases,"Mastocytosis, Cutaneous","abnormality of the liver
58",
Blood diseases,"Mastocytosis, Cutaneous","hypermelanotic macule
30",
Blood diseases,"Mastocytosis, Cutaneous","edema
30",
Blood diseases,"Mastocytosis, Cutaneous","increased serum mast cell beta-tryptase concentration
58",
Blood diseases,"Mastocytosis, Cutaneous","cutaneous mastocytosis
30",
Blood diseases,"Mastocytosis, Cutaneous","telangiectasia macularis eruptiva perstans
30",
Blood diseases,Nijmegen Breakage Syndrome,"short neck
58
30",
Blood diseases,Nijmegen Breakage Syndrome,"depressed nasal bridge
58
30",
